DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2022,KURULUM YERİ /2022,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,TESLİM SÜRESİ,"TESLİM 
TARİHİ",İRSALİYE TARİHİ
İHALE,2022/457,2022-11-09,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,NİĞDE EĞİTİM VE ARAŞTIRMA HASTANESİ,NİĞDE,STR 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-163,,2023-11-30,
DMO,2022/463,2022-11-22,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR TİRE DEVLET HASTANESİ,İZMİR,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-175,60 GÜN,2023-01-21,
İHALE,2022/464,2022-11-11,PAŞA DENTAL TIBBİ CİHAZLAR MALZEME SAN VE TİC. A.Ş.,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,BİLECİK,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-166,,2022-12-09,
DMO,2022/465,2022-11-17,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,KONYA NECMETTİN ERBAKAN ÜNİVERSİTESİ MERAM TIP FAKÜLTESİ HASTANESİ ,KONYA,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-167, 65 GÜN ,2023-01-21,
DMO,2022/466,2022-11-17,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,KONYA NECMETTİN ERBAKAN ÜNİVERSİTESİ MERAM TIP FAKÜLTESİ HASTANESİ ,KONYA,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-168, 65 GÜN ,2023-01-21,
DMO,2022/467,2022-11-17,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,KONYA NECMETTİN ERBAKAN ÜNİVERSİTESİ MERAM TIP FAKÜLTESİ HASTANESİ ,KONYA,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-169, 65 GÜN ,2023-01-21,
DMO,2022/468,2022-11-17,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,BURDUR DEVLET HASTANESİ,BURDUR,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-170, 65 GÜN ,2023-01-21,
DMO,2022/469,2022-11-17,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,BURDUR DEVLET HASTANESİ,BURDUR,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-171, 65 GÜN ,2023-01-21,
DMO,2022/470,2022-11-17,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,BURDUR DEVLET HASTANESİ,BURDUR,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-172, 65 GÜN ,2023-01-21,
YURTDIŞI,2022/472,2022-11-18,EKVATOR GİNESİ ,EKVATOR GİNESİ ,EKVATOR GİNESİ,GOLDBERG 675 S,675 LT TEK KAPILI OTOKLAV CİHAZI,675 LT,2022/01-173,30 GÜN,2022-12-18,
YURTDIŞI,2022/473,2022-11-18,EKVATOR GİNESİ ,EKVATOR GİNESİ ,EKVATOR GİNESİ,GOLDBERG 675 S,675 LT TEK KAPILI OTOKLAV CİHAZI,675 LT,2022/01-174,30 GÜN,2022-12-18,
ÖZEL,2022/474,2023-02-13,SAĞLIK BAKANLIĞI KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ,KAHRAMANMARAŞ NECİP FAZIL ŞEHİR HASTANESİ,KAHRAMANMARAŞ,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-194,,2023-02-14,
İHALE,2022/475,2022-12-05,ADANA İL SAĞLIK MÜDÜRLÜĞÜ,ADANA İL SAĞLIK MÜDÜRLÜĞÜ (GÜNEY SEYHAN DEVLET HASTANESİ),ADANA,STR 7712 D,675 LT ÇİFT KAPILI OTOKLAV CİHAZI,675 LT,2022/01-187,60 GÜN,2023-02-03,
İHALE,2022/476,2022-12-05,ADANA İL SAĞLIK MÜDÜRLÜĞÜ,ADANA İL SAĞLIK MÜDÜRLÜĞÜ (GÜNEY SEYHAN DEVLET HASTANESİ),ADANA,STR 7712 D,675 LT ÇİFT KAPILI OTOKLAV CİHAZI,675 LT,2022/01-188,60 GÜN,2023-02-03,
YURTDIŞI,2022/477,2022-12-30,FAS,FAS,FAS,GOLDBERG 422 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2022/01-186,,2022-12-30,
DMO,2022/478,2022-12-07,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,MALATYA İL SAĞLIK MÜDÜRLÜĞÜ - DARENDE DEVLET HASTANESİ,MALATYA,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2022/01-189,60 GÜN,2023-02-05,
YURTDIŞI,2022/479,2022-11-24,MISIR,MISIR,MISIR,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-181,,2022-12-23,
YURTDIŞI,2022/480,2022-11-24,MISIR,MISIR,MISIR,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-182,,2022-12-23,
YURTDIŞI,2022/481,2022-11-24,MISIR,MISIR,MISIR,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-183,,2022-12-23,
YURTDIŞI,2022/482,2022-11-24,MISIR,MISIR,MISIR,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-184,,2022-12-23,
YURTDIŞI,2022/483,2022-11-24,MISIR,MISIR,MISIR,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-185,,2022-12-23,
2024 YILANA AKTARILDI,2022/485,2022-09-14,2024 YILANA AKTARILDI,2024 YILANA AKTARILDI,,,160 LT TEK KAPILI OTOKLAV CİHAZI ,160 LT,,,,
2024 YILANA AKTARILDI,2022/486,2022-09-14,2024 YILANA AKTARILDI,2024 YILANA AKTARILDI,,,160 LT TEK KAPILI OTOKLAV CİHAZI ,160 LT,,,,
2024 e aktarıldı,2022/487,2022-09-14,2024 e aktarıldı,2024 e aktarıldı,,,160 LT TEK KAPILI OTOKLAV CİHAZI ,160 LT,,,,
2024 e aktarıldı,2022/488,2022-09-14,2024 e aktarıldı,2024 e aktarıldı,,,160 LT TEK KAPILI OTOKLAV CİHAZI ,160 LT,,,,
2024 e aktarıldı,2022/489,2022-09-14,2024 e aktarıldı,2024 e aktarıldı,,,160 LT TEK KAPILI OTOKLAV CİHAZI ,160 LT,,,,
2023 YILANA AKTARILDI,2022/490,2022-12-01,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,,,,
2023 YILANA AKTARILDI,2022/491,2022-12-01,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,,,,
2023 YILANA AKTARILDI,2022/492,2022-12-01,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,,,,
2023 YILANA AKTARILDI,2022/493,2022-12-01,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,,,,
2023 YILANA AKTARILDI,2022/494,2022-12-01,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,,,,
2023 YILANA AKTARILDI,2022/495,2022-12-01,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,,,,
2023 YILANA AKTARILDI,2022/496,2022-12-01,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,,,,
2023 YILANA AKTARILDI,2022/497,2022-12-01,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,,,,
2023 YILANA AKTARILDI,2022/498,2022-12-01,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,,,,
2023 YILANA AKTARILDI,2022/499,2022-12-01,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,,,,
2023 YILANA AKTARILDI,2022/500,2022-12-01,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,2023 YILANA AKTARILDI,,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,,,,
YURTDIŞI,2022/510,2022-12-06,MISIR,MISIR,MISIR,GOLDBERG 422 S,422 LT TEK KAPILI OTOKLAV CİHAZI,422 LT,2022/01-191,,2022-01-06,
DMO,2022/511,2022-12-07,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRESİ BAŞKANLIĞI,KONYA AKŞEHİR AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,KONYA,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2022/01-192,60 GÜN,2023-02-05,
YURTDIŞI,2022/512,2022-12-07,MISIR,MISIR,MISIR,GOLDBERG 250 S,250 LT TEK KAPILI OTOKLAV CİHAZI,250 LT,2022/01-193,,2023-01-06,
ÖZEL,2022/513,2023-02-13,SAĞLIK BAKANLIĞI KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ,KAHRAMANMARAŞ NECİP FAZIL ŞEHİR HASTANESİ,KAHRAMANMARAŞ,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-195,,2023-02-14,
2024 YILANA AKTARILDI,2022/514,2022-12-16,2024 YILANA AKTARILDI,2024 YILANA AKTARILDI,,,675 LT ÇİFT KAPILI OTOKLAV CİHAZI,675 LT,2022/01-196,SERİ NUMARASI İPTAL OLDU,,
