kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi,irsaliye_tarihi,aciklama,solusyon_fatura,bidon_acilisi,uts_no
KARTUS,HİBE,2021/026,2021-02-26,SİMAV DEVLET HASTANESİ,,KÜTAHYA,,KARTUŞ,,2021/07-505,,,,HASAN BEYİN TALİMATIYLA SERVİS ONAYLAMALARI İÇİN HEDİYESİ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-506,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-507,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-508,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-509,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-510,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-511,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-512,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-513,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-514,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-515,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-516,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-517,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-518,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-519,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-520,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-521,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-522,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-523,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-524,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-525,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-526,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-527,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-528,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-529,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-530,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-531,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-532,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-533,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-534,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-535,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-536,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-537,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-538,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-539,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-540,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-541,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-542,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-543,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-544,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-545,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-546,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-547,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-548,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-549,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-550,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-551,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-552,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-553,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-554,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-555,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-556,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-557,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-558,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-559,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-560,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-561,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-562,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-563,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-564,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-565,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-566,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-567,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-568,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-569,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-570,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-571,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-572,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-573,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-574,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-575,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-576,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-577,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-578,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-579,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-580,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-581,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-582,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-583,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-584,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-585,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-586,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-587,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-588,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-589,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-590,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-591,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-592,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-593,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-594,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-595,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-596,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-597,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-598,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-599,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-600,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-601,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-602,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-603,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-604,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,YURTDIŞI,2021/027,2021-02-26,MEDLNSPİRE (NANOCLİNİC),,ÖZBEKİSTAN,,KARTUŞ,,2021/07-605,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-606,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-607,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-608,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-609,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-610,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-611,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-612,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-613,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-614,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-615,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-616,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-617,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-618,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-619,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-620,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-621,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-622,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-623,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-624,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,ÖZEL,2021/028,2021-03-04,BAKIRKÖY DR.SADİ KONUK EĞİTİM VE ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2021/07-625,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,İHALE,2021/029,2021-03-05,TUNCELİ DEVLET HASTANESİ,,TUNCELİ,,KARTUŞ,,2021/07-626,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,İHALE,2021/029,2021-03-05,TUNCELİ DEVLET HASTANESİ,,TUNCELİ,,KARTUŞ,,2021/07-627,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,İHALE,2021/029,2021-03-05,TUNCELİ DEVLET HASTANESİ,,TUNCELİ,,KARTUŞ,,2021/07-628,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,İHALE,2021/029,2021-03-05,TUNCELİ DEVLET HASTANESİ,,TUNCELİ,,KARTUŞ,,2021/07-629,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,İHALE,2021/029,2021-03-05,TUNCELİ DEVLET HASTANESİ,,TUNCELİ,,KARTUŞ,,2021/07-630,,,,SATIŞ BÜYÜK KARTUŞ,,,
KARTUS,İHALE,2021/029,2021-03-05,TUNCELİ DEVLET HASTANESİ,,TUNCELİ,,KARTUŞ,,2021/07-631,,,,SATIŞ BÜYÜK KARTUŞ,,,
